year,players,positions,height,weight,team,nationality
1951,Paul Arizin,Paul Arizin,6-4,190,San Francisco Warriors,United States
1951,Vince Boryla,Vince Boryla,6-5,210,New York Knicks,United States
1951,Bob Cousy,Bob Cousy,6-1,175,Boston Celtics,United States
1951,Joe Fulks,Joe Fulks,6-5,190,San Francisco Warriors,United States
1951,Harry Gallatin,Harry Gallatin,6-6,210,New York Knicks,United States
1951,Ed Macauley,Ed Macauley,6-8,185,Boston Celtics,United States
1951,Dick McGuire,Dick McGuire,6-0,180,New York Knicks,United States
1951,Andy Phillip,Andy Phillip,6-2,195,San Francisco Warriors,United States
1951,Red Rocha,Red Rocha,6-9,185,Baltimore Bullets (BAA),United States
1951,Dolph Schayes,Dolph Schayes,6-7,195,Syracuse Nationals,United States
1951,Ralph Beard,Ralph Beard,5-10,175,Indianapolis Olympians,United States
1951,Frankie Brian,Frankie Brian,6-1,180,Tri-Cities Blackhawks,United States
1951,Bob Davies,Bob Davies,6-1,175,Rochester Royals,United States
1951,Dike Eddleman,Dike Eddleman,6-3,189,Tri-Cities Blackhawks,United States
1951,Larry Foust,Larry Foust,6-9,215,Fort Wayne Pistons,United States
1951,Alex Groza,Alex Groza,6-7,218,Indianapolis Olympians,United States
1951,George Mikan,George Mikan,6-10,245,Minneapolis Lakers,United States
1951,Vern Mikkelsen,Vern Mikkelsen,6-7,230,Minneapolis Lakers,United States
1951,Jim Pollard,Jim Pollard,6-4,185,Minneapolis Lakers,United States
1951,Fred Schaus,Fred Schaus,6-5,205,Fort Wayne Pistons,United States
1952,Paul Arizin,Paul Arizin,6-4,190,San Francisco Warriors,United States
1952,Bob Cousy,Bob Cousy,6-1,175,Boston Celtics,United States
1952,Joe Fulks,Joe Fulks,6-5,190,San Francisco Warriors,United States
1952,Harry Gallatin,Harry Gallatin,6-6,210,New York Knicks,United States
1952,Ed Macauley,Ed Macauley,6-8,185,Boston Celtics,United States
1952,Dick McGuire,Dick McGuire,6-0,180,New York Knicks,United States
1952,Andy Phillip,Andy Phillip,6-2,195,San Francisco Warriors,United States
1952,Red Rocha,Red Rocha,6-9,185,Syracuse Nationals,United States
1952,Dolph Schayes,Dolph Schayes,6-7,195,Syracuse Nationals,United States
