college,colors
Abilene Christian Wildcats,#4E2683
Academy of Art Urban Knights,#CC0000
Adams State Grizzlies,#124734
Adamson Falconsaka Adamson Soaring Falcons,#1D3E79
Adelphi Panthers,#4F2C1D
Adrian Bulldogs,#000000
Agnes Scott Scotties,#5F249F
Air Force Falcons,#00458C
Akron Zipsaka Akron Zippers,#041E42
Alabama A&M Bulldogsaka Alabama A&M Lady Bulldogs,#660000
Alabama,#9E1B32
Alabama State Hornets,#000000
Alabama–Huntsville Chargersaka UAH Chargers,#003DA5
Alaska Anchorage Seawolvesaka Alaska-Anchorage Seawolvesaka Alaska–Anchorage Seawolves,#00583D
Alaska Nanooksaka Alaska-Fairbanks Nanooks,#1E59AE
Albany Great Danesaka Albany Pedagogues,#46166B
Albany State Golden Rams,#0039A6
Alberta Golden Bearsaka Alberta Pandas,#284E36
Albertus Magnus Falcons,#003DA5
Albion Britons,#512D6D
Albright Lions,#BA0C2F
Alcorn State Bravesaka Alcorn State Lady Braves,#46166A
Alderson Broaddus Battlers,#003865
Alfred Saxons,#550D8A
Alice Lloyd Eagles,#003865
Allegheny Gators,#0C2340
Allen Yellow Jackets,#FFD100
Alma Scots,#862633
Alvernia Golden Wolvesaka Alvernia Crusaders,#9B2743
Alverno Inferno,#010101
America East Conference,#1D2247
American Athletic Conferenceaka The American,#041E41
American University,#005099
American International Yellow Jacketsaka AIC Yellow Jackets,#000000
American Midwest Conference,#003893
American University of Beirutaka AUB,#EE3524
Amherst Mammothsaka Amherst Lord Jeffs,#3F1F69
Anderson Ravens,#FE5000
Anderson Trojans,#010101
Angelo State Rams,#245397
Anna Maria Amcats,#8A1538
Antelope Valley Pioneers,#001A72
Appalachian State Mountaineers,#222222
Apprentice Buildersaka Apprentice School Builders,#7D2248
Aquinas Saints,#76232F
Arcadia Knights,#9D2235
Arizona Christian Firestormaka Arizona Christian Eagles,#DA291C
Arizona State,#8C1D40
Arizona,#C10230
Arkansas,#A41F35
Arkansas State Red Wolvesaka Arkansas State Indians,#CC092F
Arkansas Tech Wonder Boysaka Arkansas Tech Golden Suns,#00533E
Arkansas-Pine Bluff Golden Lionsaka Arkansas-Pine Bluff Lady Lionsaka Arkansas–Pine Bluff Golden Lionsaka Arkansas–Pine Bluff Lady Lions,#000000
Arkansas–Fort Smith Lionsaka Arkansas-Fort Smith Lions,#002D56
Arkansas–Monticello Boll Weevilsaka Arkansas-Monticello Cotton Blossomsaka Arkansas–Monticello Cotton Blossomsaka Arkansas-Monticello Boll Weevils,#00965E
Armstrong State Piratesaka Armstrong State Lady Pirates,#6B212A
Army Black Knightsaka Army Cadets,#2C2A29
Asbury Eagles,#3C1053
Ashland Eagles,#5C068C
Assumption Greyhounds,#005B99
Ateneo Blue Eagles,#003BAF
Atlantic Coast Conference,#013CA6
Atlantic Hockey Associationaka Atlantic Hockey,#12527e
Atlantic Sun Conferenceaka ASUN Conference,#424449
Auburn,#03244d
