state,players,town,state_name
AL,Michael Ansley,Birmingham,Alabama
AL,Keith Askins,Athens,Alabama
AL,Carl Bailey,Birmingham,Alabama
AL,Charles Barkley*,Leeds,Alabama
AL,Eric Bledsoe,Birmingham,Alabama
AL,Tom Boswell,Montgomery,Alabama
AL,David Bustion,Gadsden,Alabama
AL,Al Butler,Birmingham,Alabama
AL,Jason Caffey,Mobile,Alabama
AL,DeMarre Carroll,Birmingham,Alabama
AL,Bobby Cattage,Huntsville,Alabama
AL,Derrick Coleman,Mobile,Alabama
AL,DeMarcus Cousins,Mobile,Alabama
AL,Michael Curry,Anniston,Alabama
AL,Fennis Dembo,Mobile,Alabama
AL,John Douglas,Town Creek,Alabama
AL,Leon Douglas,Leighton,Alabama
AL,John Drew,Vredenburgh,Alabama
AL,T.R. Dunn,Birmingham,Alabama
AL,Jim Farmer,Dothan,Alabama
AL,Trent Forrest,Dothan,Alabama
AL,Rod Foster,Birmingham,Alabama
AL,Mickell Gladness,Birmingham,Alabama
AL,Orlando Graham,Montgomery,Alabama
AL,Travis Grant,Clayton,Alabama
AL,JaMychal Green,Montgomery,Alabama
AL,Lamar Green,Birmingham,Alabama
AL,Donta Hall,Luverne,Alabama
AL,Darrin Hancock,Birmingham,Alabama
AL,Cecil Hankins,Covin,Alabama
AL,James Hardy,Knoxville,Alabama
AL,Johnny High,Birmingham,Alabama
AL,Cedrick Hordges,Montgomery,Alabama
AL,Robert Horry,Andalusia,Alabama
AL,Elvin Ivory,Birmingham,Alabama
AL,Stanley Jackson,Tuskegee,Alabama
AL,Henry James,Centreville,Alabama
AL,Buck Johnson,Birmingham,Alabama
AL,Ken Johnson,Tuskegee,Alabama
AL,Nate Johnston,Birmingham,Alabama
AL,Edgar Jones,Fort Rucker,Alabama
AL,Herb Jones,Tuscaloosa,Alabama
AL,Walter Jordan,Perry,Alabama
AL,Larry Kenon,Birmingham,Alabama
AL,Warren Kidd,Harpersville,Alabama
AL,Stan Kimbrough,Tuscaloosa,Alabama
AL,Reggie King,Birmingham,Alabama
AL,Antonio Lang,Mobile,Alabama
AL,James Lang,Mobile,Alabama
AL,Kira Lewis,Meridianville,Alabama
AL,Josh Magette,Birmingham,Alabama
AL,Jeff Malone,Mobile,Alabama
AL,Keith McCord,Birmingham,Alabama
AL,K.J. McDaniels,Mobile,Alabama
AL,George McGinnis*,Harpersville,Alabama
AL,Thales McReynolds,Birmingham,Alabama
AL,Joe Meriweather,Phenix City,Alabama
AL,Larry Moffett,Mobile,Alabama
AL,Jamario Moon,Goodwater,Alabama
AL,Allen Murphy,Birmingham,Alabama
AL,Pete Myers,Mobile,Alabama
AL,Wiley Peck,Montgomery,Alabama
AL,Chuck Person,Brantley,Alabama
AL,Wesley Person,Crenshaw,Alabama
AL,Eddie Phillips,Birmingham,Alabama
AL,Stan Pietkiewicz,Huntsville,Alabama
AL,Chris Porter,Abbeville,Alabama
AL,Cal Ramsey,Selma,Alabama
AL,Theo Ratliff,Demopolis,Alabama
AL,Oliver Robinson,Birmingham,Alabama
AL,Roy Rogers,Linden,Alabama
AL,Curtis Rowe,Bessemer,Alabama
AL,Willie Scott,Gadsden,Alabama
