teams,colors,secondary
Abilene Christian Wildcats,#4E2683,#C5C6C8
Academy of Art Urban Knights,#CC0000,#000000
Adams State Grizzlies,#124734,#231F20
Adamson Falconsaka Adamson Soaring Falcons,#1D3E79,transpa
Adelphi Panthers,#4F2C1D,#FFB500
Adrian Bulldogs,#000000,#ffc72c
Agnes Scott Scotties,#5F249F,transpa
Air Force Falcons,#00458C,#A0A3A5
Akron Zipsaka Akron Zippers,#041E42,#A89968
Alabama A&M Bulldogsaka Alabama A&M Lady Bulldogs,#660000,#000000
Alabama Crimson Tide,#9E1B32,transpa
Alabama State Hornets,#000000,#C99700
Alabama–Huntsville Chargersaka UAH Chargers,#003DA5,#29282A
Alaska Anchorage Seawolvesaka Alaska-Anchorage Seawolvesaka Alaska–Anchorage Seawolves,#00583D,#FFC425
Alaska Nanooksaka Alaska-Fairbanks Nanooks,#1E59AE,#FCD006
Albany Great Danesaka Albany Pedagogues,#46166B,#EEB211
Albany State Golden Rams,#0039A6,#EAAB00
Alberta Golden Bearsaka Alberta Pandas,#284E36,#F9B117
Albertus Magnus Falcons,#003DA5,#C1C6C8
Albion Britons,#512D6D,#EAAA00
Albright Lions,#BA0C2F,#010101
Alcorn State Bravesaka Alcorn State Lady Braves,#46166A,#E9A713
Alderson Broaddus Battlers,#003865,#FFB81C
Alfred Saxons,#550D8A,transpa
Alice Lloyd Eagles,#003865,#010101
Allegheny Gators,#0C2340,#FFC72C
Allen Yellow Jackets,#FFD100,#004C97
Alma Scots,#862633,#010101
Alvernia Golden Wolvesaka Alvernia Crusaders,#9B2743,#EAAA00
Alverno Inferno,#010101,#E4002B
America East Conference,#1D2247,#32B7E6
American Athletic Conferenceaka The American,#041E41,#E2231A
American Eaglesaka American University Eagles,#005099,#C4122E
American International Yellow Jacketsaka AIC Yellow Jackets,#000000,#FFB60F
American Midwest Conference,#003893,#D81E05
American University of Beirutaka AUB,#EE3524,#008A5E
Amherst Mammothsaka Amherst Lord Jeffs,#3F1F69,transpa
Anderson Ravens,#FE5000,#010101
Anderson Trojans,#010101,#8C714C
Angelo State Rams,#245397,#F0C33B
Anna Maria Amcats,#8A1538,#000000
