players,college
Alaa Abdelnaby,Duke
Zaid Abdul-Aziz,Iowa State
Kareem Abdul-Jabbar*,UCLA
Mahmoud Abdul-Rauf,LSU
Tariq Abdul-Wahad,"Michigan, San Jose State"
Shareef Abdur-Rahim,California
Tom Abernethy,Indiana
Forest Able,Western Kentucky
John Abramovic,Salem International University
Álex Abrines,
Precious Achiuwa,Memphis
Alex Acker,Pepperdine
Don Ackerman,Long Island University
Mark Acres,Oral Roberts
Bud Acton,Hillsdale College
Quincy Acy,Baylor
Alvan Adams,Oklahoma
Don Adams,Northwestern
George Adams,Gardner-Webb University
Hassan Adams,Arizona
Jaylen Adams,St. Bonaventure
Jordan Adams,UCLA
Michael Adams,Boston College
Steven Adams,Pitt
Rafael Addison,Syracuse
Bam Adebayo,Kentucky
Deng Adel,Louisville
Rick Adelman*,Loyola Marymount
Jeff Adrien,UConn
Arron Afflalo,UCLA
Maurice Ager,Michigan State
Mark Aguirre,DePaul
Blake Ahearn,Missouri State
Danny Ainge,BYU
Matthew Aitch,Michigan State
Alexis Ajinça,
Henry Akin,Morehead State University
Josh Akognon,"Washington State, Cal State Fullerton"
DeVaughn Akoon-Purcell,Illinois State
Solomon Alabi,Florida State
Mark Alarie,Duke
Gary Alcorn,Fresno State
Santi Aldama,Loyola College in Maryland
Furkan Aldemir,
Cole Aldrich,Kansas
LaMarcus Aldridge,Texas
Chuck Aleksinas,"Kentucky, UConn"
Cliff Alexander,Kansas
Cory Alexander,Virginia
Courtney Alexander,"Virginia, Fresno State"
Gary Alexander,South Florida
Joe Alexander,West Virginia
Kyle Alexander,Tennessee
Ty-Shon Alexander,Creighton
Victor Alexander,Iowa State
Nickeil Alexander-Walker,Virginia Tech
Steve Alford,Indiana
Rawle Alkins,Arizona
Bill Allen,New Mexico State
Bob Allen,Marshall
Grayson Allen,Duke
Jarrett Allen,Texas
Jerome Allen,Penn
Kadeem Allen,Arizona
Lavoy Allen,Temple
Lucius Allen,UCLA
Malik Allen,Villanova
Randy Allen,Florida State
Ray Allen*,UConn
Tony Allen,"Butler County Community College, Oklahoma State"
Willie Allen,Miami (FL)
Odis Allison,UNLV
Lance Allred,"Utah, Weber State"
Darrell Allums,UCLA
Morris Almond,Rice University
Derrick Alston,Duquesne
Rafer Alston,Fresno State
Peter Aluma,Liberty
John Amaechi,"Vanderbilt, Penn State"
Ashraf Amaya,Southern Illinois
Al-Farouq Aminu,Wake Forest
Lou Amundson,UNLV
Bob Anderegg,Michigan State
Chris Andersen,Blinn College
David Andersen,
Alan Anderson,Michigan State
Andrew Anderson,Canisius
Antonio Anderson,Memphis
Cliff Anderson,Saint Joseph's
Dan Anderson,Augsburg College
Dan Anderson,USC
Derek Anderson,"Ohio State, Kentucky"
Dwight Anderson,"Kentucky, USC"
Eric Anderson,Indiana
Greg Anderson,Houston
J.J. Anderson,Bradley
James Anderson,Oklahoma State
Jerome Anderson,West Virginia
Justin Anderson,Virginia
Kenny Anderson,Georgia Tech
Kim Anderson,Missouri
Kyle Anderson,UCLA
Michael Anderson,Drexel
Nick Anderson,Illinois
Richard Anderson,UC Santa Barbara
Ron Anderson,Fresno State
Ryan Anderson,California
Shandon Anderson,Georgia
Willie Anderson,Georgia
Wally Anderzunas,Creighton
Martynas Andriuškevičius,
Don Anielak,Missouri State
Ike Anigbogu,UCLA
Michael Ansley,Alabama
Chris Anstey,
Giannis Antetokounmpo,
Kostas Antetokounmpo,Dayton
Thanasis Antetokounmpo,
Carmelo Anthony,Syracuse
Cole Anthony,UNC
Greg Anthony,"University of Portland, UNLV"
Joel Anthony,UNLV
Pero Antić,
OG Anunoby,Indiana
Keith Appling,Michigan State
Rafael Araújo,BYU
Stacey Arceneaux,Iowa State
Robert Archibald,Illinois
Tiny Archibald*,Texas-El Paso
Ryan Arcidiacono,Villanova
Jim Ard,Cincinnati
Gilbert Arenas,Arizona
Trevor Ariza,UCLA
Paul Arizin*,Villanova
Joe Arlauckas,Niagara University
B.J. Armstrong,Iowa
Bob Armstrong,Michigan State
Brandon Armstrong,Pepperdine
Curly Armstrong,Indiana
Darrell Armstrong,Fayetteville State University
Hilton Armstrong,UConn
Tate Armstrong,Duke
Jesse Arnelle,Penn State
Jay Arnette,Texas
Bob Arnzen,Notre Dame
Carlos Arroyo,Florida International University
Darrell Arthur,Kansas
John Arthurs,Tulane
Jamel Artis,Pitt
Ömer Aşık,
Vincent Askew,Memphis
Keith Askins,Alabama
Don Asmonga,Alliance College
Dick Atha,Indiana State University
Chucky Atkins,South Florida
Al Attles*,North Carolina A&T
Chet Aubuchon,Michigan State
Stacey Augmon,UNLV
D.J. Augustin,Texas
James Augustine,Illinois
Isaac Austin,Arizona State
Johnny Austin,Boston College
Ken Austin,Rice University
Deni Avdija,
Anthony Avent,Seton Hall
Bird Averitt,Pepperdine
William Avery,Duke
Dennis Awtrey,Santa Clara
Joel Ayayi,Gonzaga
Gustavo Ayón,
Jeff Ayres,Arizona State
Deandre Ayton,Arizona
Kelenna Azubuike,Kentucky
Udoka Azubuike,Kansas
Chris Babb,"Penn State, Iowa State"
Luke Babbitt,Nevada
Miloš Babić,Tennessee Technological University
Johnny Bach,Fordham
Dwayne Bacon,Florida State
Henry Bacon,Louisville
Jim Baechtold,Eastern Kentucky University
Dalibor Bagarić,
John Bagley,Boston College
Marvin Bagley,Duke
Carl Bailey,Tuskegee University
Gus Bailey,Texas-El Paso
James Bailey,Rutgers University
Thurl Bailey,NC State
Toby Bailey,UCLA
Cameron Bairstow,New Mexico
Jimmie Baker,Hawaii
LaMark Baker,Ohio State
Maurice Baker,Oklahoma State
Norm Baker,
Ron Baker,Wichita State
Vin Baker,University of Hartford
Wade Baldwin,Vanderbilt
Renaldo Balkman,South Carolina
Cedric Ball,UNC Charlotte
LaMelo Ball,
Lonzo Ball,UCLA
Greg Ballard,Oregon
Herschel Baltimore,Penn State
Mohamed Bamba,Texas
Desmond Bane,TCU
Gene Banks,Duke
Marcus Banks,UNLV
Walker Banks,Western Kentucky
Ken Bannister,"Indiana State University, Saint Augustine's College"
Mike Bantom,Saint Joseph's
Dalano Banton,Nebraska
John Barber,"California State University, Los Angeles"
Leandro Barbosa,
Steve Bardo,Illinois
J.J. Barea,Northeastern University
Andrea Bargnani,
Cliff Barker,Kentucky
Tom Barker,Hawaii
Charles Barkley*,Auburn
Erick Barkley,St. John's
Don Barksdale*,UCLA
Harrison Barnes,UNC
Harry Barnes,Northeastern University
Jim Barnes,Texas-El Paso
Marvin Barnes,Providence
Matt Barnes,UCLA
Scottie Barnes,Florida State
Dick Barnett,Tennessee State
Jim Barnett,Oregon
Nathaniel Barnett,University of Akron
John Barnhill,Tennessee State
Norton Barnhill,Washington State
Leo Barnhorst,Notre Dame
John Barr,Penn State
Mike Barr,Duquesne
Moe Barr,Duquesne
Andre Barrett,Seton Hall
Ernie Barrett,Kansas State
Mike Barrett,West Virginia Tech
RJ Barrett,Duke
Earl Barron,Memphis
Dana Barros,Boston College
Brent Barry,Oregon State
Drew Barry,Georgia Tech
Jon Barry,"University of the Pacific, Georgia Tech"
Rick Barry*,Miami (FL)
Ed Bartels,NC State
Vic Bartolome,Oregon State
Will Barton,Memphis
Eddie Basden,UNC Charlotte
Jerry Baskerville,Temple
Brandon Bass,LSU
Tim Bassett,Georgia
Charles Bassey,Western Kentucky
Maceo Baston,Michigan
Mengke Bateer,
Billy Ray Bates,Kentucky State University
Keita Bates-Diop,Ohio State
Esteban Batista,
Mike Batiste,Arizona State
Tony Battie,Texas Tech
Shane Battier,Duke
John Battle,Rutgers University
Kenny Battle,"Northern Illinois, Illinois"
Dave Batton,Notre Dame
Lloyd Batts,Cincinnati
Nicolas Batum,
Johnny Baum,Temple
Frankie Baumholtz,Ohio University
Lonny Baxter,Maryland
Jerryd Bayless,Arizona
Elgin Baylor*,"Albertson College of Idaho, Seattle University"
Howard Bayne,Tennessee
Aron Baynes,Washington State
Sergei Bazarevich,
Kent Bazemore,Old Dominion
Darius Bazley,
Ed Beach,West Virginia
Bradley Beal,Florida
Al Beard,Norfolk State
Butch Beard,Louisville
Ralph Beard,Kentucky
Charles Beasley,SMU
Jerome Beasley,"Midland College, University of North Dakota"
John Beasley,Texas A&M
Malik Beasley,Florida State
Michael Beasley,Kansas State
Zelmo Beaty*,Prairie View A&M University
Rodrigue Beaubois,
Byron Beck,Denver
Corey Beck,"South Plains College, Arkansas"
Ernie Beck,Penn
Arthur Becker,Arizona State
Moe Becker,Duquesne
Bob Bedell,Stanford
William Bedford,Memphis
Hank Beenders,Long Island University
Ron Behagen,Minnesota
